Name,Year,Country,Countries,Category,Gender,Details
Archibald Vivian Hill,1922,United Kingdom,United Kingdom,Physiology or Medicine,Man,
Arieh Warshel,2013,Israel,Israel,Chemistry,Man,
Arieh Warshel,2013,United States,"Israel, United States",Chemistry,Man, born in Israel
Aristide Briand,1926,France,France,Peace,Man,
Arne Tiselius,1948,Sweden,Sweden,Chemistry,Man,
Arno Penzias,1978,Germany,Germany,Physics,Man,
Arno Penzias,1978,United States,"Germany, United States",Physics,Man, born in Germany
Arthur Ashkin,2018,United States,United States,Physics,Man,
Arthur B. McDonald,2015,Canada,Canada,Physics,Man,
Arthur H. Compton,1927,United States,United States,Physics,Man,
Arthur Harden,1929,United Kingdom,United Kingdom,Chemistry,Man,
Arthur Henderson,1934,United Kingdom,United Kingdom,Peace,Man,
Arthur Kornberg,1959,United States,United States,Physiology or Medicine,Man,
Arthur L. Schawlow,1981,United States,United States,Physics,Man,
Artturi Ilmari Virtanen,1945,Finland,Finland,Chemistry,Man," born in the Grand Duchy of Finland,  a part of the Russian Empire in 1809–1917"
Arvid Carlsson,2000,Sweden,Sweden,Physiology or Medicine,Man,
August Krogh,1920,Denmark,Denmark,Physiology or Medicine,Man,
Auguste Beernaert,1909,Belgium,Belgium,Peace,Man,
Aung San Suu Kyi,1991,Myanmar (Burma),Myanmar (Burma),Peace,Woman,
Austen Chamberlain,1925,United Kingdom,United Kingdom,Peace,Man,
Avram Hershko,2004,Hungary,Hungary,Chemistry,Man, as an Israeli citizen
Avram Hershko,2004,Israel,"Hungary, Israel",Chemistry,Man, born in Hungary
Aziz Sancar,2015,Turkey,Turkey,Chemistry,Man,
Aziz Sancar,2015,United States,"Turkey, United States",Chemistry,Man, born in Turkey
Barack H. Obama,2009,United States,United States,Peace,Man,
Barbara McClintock,1983,United States,United States,Physiology or Medicine,Woman,
Barry Barish,2017,United States,United States,Physics,Man,
Barry Marshall,2005,Australia,Australia,Physiology or Medicine,Man,
Baruch S. Blumberg,1976,United States,United States,Physiology or Medicine,Man,
Baruj Benacerraf,1980,United States,United States,Physiology or Medicine,Man, born in Venezuela
Baruj Benacerraf,1980,Venezuela,"United States, Venezuela",Physiology or Medicine,Man,
Ben Feringa,2016,Netherlands,Netherlands,Chemistry,Man,
Ben Roy Mottelson,1975,Denmark,Denmark,Physics,Man, born in United States
Ben Roy Mottelson,1975,United States,"Denmark, United States",Physics,Man,
Bengt I. Samuelsson,1982,Sweden,Sweden,Physiology or Medicine,Man,
Bengt R. Holmström,2016,Finland,Finland,Economics,Man,
Bernard Katz,1970,Germany,Germany,Physiology or Medicine,Man,
Bernard Katz,1970,United Kingdom,"Germany, United Kingdom",Physiology or Medicine,Man, born in Germany
Bernardo Houssay,1947,Argentina,Argentina,Physiology or Medicine,Man,
Bert Sakmann,1991,Germany,Germany,Physiology or Medicine,Man,
Bertha von Suttner,1905,Czech Republic,Czech Republic,Peace,Woman,"Born in the Austrian Empire, now Czech Republic"
Bertil Ohlin,1977,Sweden,Sweden,Economics,Man,
Bertram Brockhouse,1994,Canada,Canada,Physics,Man,
Bertrand Russell,1950,United Kingdom,United Kingdom,Literature,Man,
Betty Williams,1976,Ireland,Ireland,Peace,Woman,"Born in North Ireland, part of the UK"
Betty Williams,1976,United Kingdom,"Ireland, United Kingdom",Peace,Woman,"Born in North Ireland, part of the UK"
Bjørnstjerne Bjørnson,1903,Norway,Norway,Literature,Man,
Bob Dylan,2016,United States,United States,Literature,Man,
Boris Pasternak,1958,Russia and Soviet Union,Russia and Soviet Union,Literature,Man,(forced to decline)
Brian David Josephson,1973,United Kingdom,United Kingdom,Physics,Man,
Brian K. Kobilka,2012,United States,United States,Chemistry,Man,
Brian P. Schmidt,2011,United States,United States,Physics,Man,
Brian Schmidt,2011,Australia,Australia,Physics,Man, born in the United States
Bruce Beutler,2011,United States,United States,Physiology or Medicine,Man,
Bruce Merrifield,1984,United States,United States,Chemistry,Man,
Burton Richter,1976,United States,United States,Physics,Man,
C. V. Raman,1930,India,India,Physics,Man,
Camillo Golgi,1906,Italy,Italy,Physiology or Medicine,Man,
Camilo José Cela,1989,Spain,Spain,Literature,Man,
Carl Anderson,1936,United States,United States,Physics,Man,
Carl Bosch,1931,Germany,Germany,Chemistry,Man,
Carl E. Wieman,2001,United States,United States,Physics,Man,
Carl Ferdinand Cori,1947,Czech Republic,Czech Republic,Physiology or Medicine,Man," born in Prague,  Austria-Hungary,  now Czech Republic"
Carl Ferdinand Cori,1947,United States,"Czech Republic, United States",Physiology or Medicine,Man, born in Austria
Carl Gustaf Verner von Heidenstam,1916,Sweden,Sweden,Literature,Man,
Carl Spitteler,1919,Switzerland,Switzerland,Literature,Man,
Carl von Ossietzky,1935,Germany,Germany,Peace,Man,
Carlo Rubbia,1984,Italy,Italy,Physics,Man,
Carlos Filipe Ximenes Belo,1996,East Timor,East Timor,Peace,Man,
Carlos Filipe Ximenes Belo,1996,Portugal,"East Timor, Portugal",Peace,Man," born in then Portuguese Timor,  now East Timor"
Carlos Saavedra Lamas,1936,Argentina,Argentina,Peace,Man,
Carol W. Greider,2009,United States,United States,Physiology or Medicine,Woman,
Cecil Frank Powell,1950,United Kingdom,United Kingdom,Physics,Man,
César Milstein,1984,Argentina,Argentina,Physiology or Medicine,Man,
César Milstein,1984,United Kingdom,"Argentina, United Kingdom",Physiology or Medicine,Man, born in Argentina
Charles Albert Gobat,1902,Switzerland,Switzerland,Peace,Man,
Charles B. Huggins,1966,Canada,Canada,Physiology or Medicine,Man,
Charles B. Huggins,1966,United States,"Canada, United States",Physiology or Medicine,Man, born in Canada
Charles Édouard Guillaume,1920,Switzerland,Switzerland,Physics,Man,
Charles G. Dawes,1925,United States,United States,Peace,Man,
Charles Glover Barkla,1917,United Kingdom,United Kingdom,Physics,Man,
Charles H. Townes,1964,United States,United States,Physics,Man,
Charles J. Pedersen,1987,United States,United States,Chemistry,Man, born in Korea
Charles K. Kao,2009,"China, Republic of","China, Republic of",Physics,Man,
Charles K. Kao,2009,Hong Kong,"China, Republic of, Hong Kong",Physics,Man,
Charles K. Kao,2009,United Kingdom,"China, Republic of, Hong Kong, United Kingdom",Physics,Man,
Charles K. Kao,2009,United States,"China, Republic of, Hong Kong, United Kingdom, United States",Physics,Man, born in China
Charles Louis Alphonse Laveran,1907,France,France,Physiology or Medicine,Man,
Charles Nicolle,1928,France,France,Physiology or Medicine,Man,
Charles Richet,1913,France,France,Physiology or Medicine,Man,
Charles Scott Sherrington,1932,United Kingdom,United Kingdom,Physiology or Medicine,Man,
Charles Thomson Rees Wilson,1927,United Kingdom,United Kingdom,Physics,Man,
Chen Ning Yang,1957,United States,United States,Physics,Man, born in China
Chen-Ning Yang,1957,"China, Republic of","China, Republic of",Physics,Man,
Christiaan Eijkman,1929,Netherlands,Netherlands,Physiology or Medicine,Man,
Christian Anfinsen,1972,United States,United States,Chemistry,Man,
Christian de Duve,1974,Belgium,Belgium,Physiology or Medicine,Man, born in the United Kingdom
Christian de Duve,1974,United Kingdom,"Belgium, United Kingdom",Physiology or Medicine,Man,
Christian Lous Lange,1921,Norway,Norway,Peace,Man,
Christiane Nüsslein-Volhard,1995,Germany,Germany,Physiology or Medicine,Woman,
Christopher A. Pissarides,2010,Cyprus,Cyprus,Economics,Man,
Christopher A. Pissarides,2010,United Kingdom,"Cyprus, United Kingdom",Economics,Man, born in Cyprus
Christopher A. Sims,2011,United States,United States,Economics,Man,
Claude Cohen-Tannoudji,1997,France,France,Physics,Man, born in French Algeria
Claude Simon,1985,France,France,Literature,Man,
Clifford G. Shull,1994,United States,United States,Physics,Man,
Clinton Davisson,1937,United States,United States,Physics,Man,
Clive W. J. Granger,2003,United Kingdom,United Kingdom,Economics,Man,
Cordell Hull,1945,United States,United States,Peace,Man,
Corneille Heymans,1938,Belgium,Belgium,Physiology or Medicine,Man,
Craig C. Mello,2006,United States,United States,Physiology or Medicine,Man,
Cyril Norman Hinshelwood,1956,United Kingdom,United Kingdom,Chemistry,Man,
Czesław Miłosz,1980,Lithuania,Lithuania,Literature,Man,
Czesław Miłosz,1980,Poland,"Lithuania, Poland",Literature,Man," born in Russian Empire,  now Lithuania"
Czesław Miłosz,1980,United States,"Lithuania, Poland, United States",Literature,Man," born in then Russian Empire,  now Lithuania"
Dag Hammarskjöld,1961,Sweden,Sweden,Peace,Man,(posthumously)
Dale T. Mortensen,2010,United States,United States,Economics,Man,
Dan Shechtman,2011,Israel,Israel,Chemistry,Man,
Daniel Bovet,1957,Italy,Italy,Physiology or Medicine,Man, born in Switzerland
Daniel Bovet,1957,Switzerland,"Italy, Switzerland",Physiology or Medicine,Man,
Daniel C. Tsui,1998,"China, People's Republic of","China, People's Republic of",Physics,Man,
Daniel C. Tsui,1998,United States,"China, People's Republic of, United States",Physics,Man, born in China
Daniel Carleton Gajdusek,1976,United States,United States,Physiology or Medicine,Man,
Daniel Kahneman,2002,Israel,Israel,Economics,Man,
Daniel Kahneman,2002,United States,"Israel, United States",Economics,Man, born in Israel
Daniel L. McFadden,2000,United States,United States,Economics,Man,
Daniel Nathans,1978,United States,United States,Physiology or Medicine,Man,
Dario Fo,1997,Italy,Italy,Literature,Man,
David Baltimore,1975,United States,United States,Physiology or Medicine,Man,
David H. Hubel,1981,Canada,Canada,Physiology or Medicine,Man,
David H. Hubel,1981,United States,"Canada, United States",Physiology or Medicine,Man, born in Canada
David J. Gross,2004,United States,United States,Physics,Man,
David J. Thouless,2016,United Kingdom,United Kingdom,Physics,Man,
David J. Wineland,2012,United States,United States,Physics,Man,
David M. Lee,1996,United States,United States,Physics,Man,
David Trimble,1998,Ireland,Ireland,Peace,Man,
David Trimble,1998,United Kingdom,"Ireland, United Kingdom",Peace,Man,
Denis Mukwege,2018,"Congo, Democratic Republic","Congo, Democratic Republic",Peace,Man,
Dennis Gabor,1971,Hungary,Hungary,Physics,Man,
Dennis Gabor,1971,United Kingdom,"Hungary, United Kingdom",Physics,Man, born in Hungary
Derek Harold Richard Barton,1969,United Kingdom,United Kingdom,Chemistry,Man,
Derek Walcott,1992,Saint Lucia,Saint Lucia,Literature,Man,
Desmond Tutu,1984,South Africa,South Africa,Peace,Man,
Dickinson W. Richards,1956,United States,United States,Physiology or Medicine,Man,
Didier Queloz,2019,Switzerland,Switzerland,Physics,Man,
Dominique Pire,1958,Belgium,Belgium,Peace,Man,
Donald A. Glaser,1960,United States,United States,Physics,Man,
Donald J. Cram,1987,United States,United States,Chemistry,Man,
Donna Strickland,2018,Canada,Canada,Physics,Woman,
Doris Lessing,2007,Iran,Iran,Literature,Woman,"Born in Iran, worked in the UK"
Doris Lessing,2007,United Kingdom,"Iran, United Kingdom",Literature,Woman,"Born in Iran, worked in the UK"
Dorothy Hodgkin,1964,United Kingdom,United Kingdom,Chemistry,Woman,
Douglas D. Osheroff,1996,United States,United States,Physics,Man,
Douglass C. North,1993,United States,United States,Economics,Man,
Dudley R. Herschbach,1986,United States,United States,Chemistry,Man,
E. Donnall Thomas,1990,United States,United States,Physiology or Medicine,Man,
E. M. Purcell,1952,United States,United States,Physics,Man,
Earl W. Sutherland Jr.,1971,United States,United States,Physiology or Medicine,Man,
Edgar Adrian,1932,United Kingdom,United Kingdom,Physiology or Medicine,Man, 1st Baron Adrian
Edmond H. Fischer,1992,United States,United States,Physiology or Medicine,Man, born in China
Edmond H. Fischer,1992,Switzerland,"United States, Switzerland",Physiology or Medicine,Man,
Edmund S. Phelps,2006,United States,United States,Economics,Man,
Eduard Buchner,1907,Germany,Germany,Chemistry,Man,
Edvard Moser,2014,Norway,Norway,Physiology or Medicine,Man,
Edward A. Doisy,1943,United States,United States,Physiology or Medicine,Man,
Edward B. Lewis,1995,United States,United States,Physiology or Medicine,Man,
Edward C. Kendall,1950,United States,United States,Physiology or Medicine,Man,
Edward C. Prescott,2004,United States,United States,Economics,Man,
Edward Tatum,1958,United States,United States,Physiology or Medicine,Man,
Edward Victor Appleton,1947,United Kingdom,United Kingdom,Physics,Man,
Edwin G. Krebs,1992,United States,United States,Physiology or Medicine,Man,
Edwin M. McMillan,1951,United States,United States,Chemistry,Man,
Ei-ichi Negishi,2010,Japan,Japan,Chemistry,Man, Born in China
Ei-ichi Negishi,2010,United States,"Japan, United States",Chemistry,Man, Japanese citizenship
Eisaku Satō,1974,Japan,Japan,Peace,Man,
Elfriede Jelinek,2004,Austria,Austria,Literature,Woman,
Elias Canetti,1981,Bulgaria,Bulgaria,Literature,Man,
Elias Canetti,1981,United Kingdom,"Bulgaria, United Kingdom",Literature,Man, born in Bulgaria
Elias James Corey,1990,United States,United States,Chemistry,Man,
Élie Ducommun,1902,Switzerland,Switzerland,Peace,Man,
Élie Metchnikoff,1908,Russia and Soviet Union,Russia and Soviet Union,Physiology or Medicine,Man, born in now Ukraine
Elie Wiesel,1986,Romania,Romania,Peace,Man,
Elie Wiesel,1986,United States,"Romania, United States",Peace,Man, born in Romania
Elihu Root,1912,United States,United States,Peace,Man,
Elinor Ostrom,2009,United States,United States,Economics,Woman,
Elizabeth Blackburn,2009,Australia,Australia,Physiology or Medicine,Woman,"Born in Australia, worked in the US"
Elizabeth Blackburn,2009,United States,"Australia, United States",Physiology or Medicine,Woman,"Born in Australia, worked in the US"
Ellen Johnson Sirleaf,2011,Liberia,Liberia,Peace,Woman,
Emil Adolf von Behring,1901,Germany,Germany,Physiology or Medicine,Man,
Emilio Segrè,1959,Italy,Italy,Physics,Man,
Emilio Segrè,1959,United States,"Italy, United States",Physics,Man, born in Italy
Emily Greene Balch,1946,United States,United States,Peace,Woman,
Enrico Fermi,1938,Italy,Italy,Physics,Man,
Eric A. Cornell,2001,United States,United States,Physics,Man,
Eric Betzig,2014,United States,United States,Chemistry,Man,
Eric F. Wieschaus,1995,United States,United States,Physiology or Medicine,Man,
Eric Kandel,2000,Austria,Austria,Physiology or Medicine,Man,
Eric Kandel,2000,United States,"Austria, United States",Physiology or Medicine,Man, born in Austria
Eric S. Maskin,2007,United States,United States,Economics,Man,
Erik Axel Karlfeldt,1931,Sweden,Sweden,Literature,Man,(posthumously)
Ernest Hemingway,1954,United States,United States,Literature,Man,
Ernest Lawrence,1939,United States,United States,Physics,Man,
Ernest Rutherford,1908,New Zealand,New Zealand,Chemistry,Man,
Ernest Rutherford,1908,United Kingdom,"New Zealand, United Kingdom",Chemistry,Man, born in New Zealand
Ernest Rutherford,1908,Canada,"New Zealand, United Kingdom, Canada",Chemistry,Man, born in New Zealand
Ernest Walton,1951,Ireland,Ireland,Physics,Man,
Ernesto Teodoro Moneta,1907,Italy,Italy,Peace,Man,
Ernst Boris Chain,1945,Germany,Germany,Physiology or Medicine,Man,
Ernst Boris Chain,1945,United Kingdom,"Germany, United Kingdom",Physiology or Medicine,Man, born in Germany
Ernst Otto Fischer,1973,Germany,Germany,Chemistry,Man,
Ernst Ruska,1986,Germany,Germany,Physics,Man,
Erwin Neher,1991,Germany,Germany,Physiology or Medicine,Man,
Erwin Schrödinger,1933,Austria,Austria,Physics,Man,
Esther Duflo,2019,France,France,Economics,Woman,"Born in France, worked in the US"
Esther Duflo,2019,United States,"France, United States",Economics,Woman,"Born in France, worked in the US"
Eugene F. Fama,2013,United States,United States,Economics,Man,
Eugene O'Neill,1936,United States,United States,Literature,Man,
Eugene Wigner,1963,Hungary,Hungary,Physics,Man,
Eugene Wigner,1963,United States,"Hungary, United States",Physics,Man, born in Hungary
Eugenio Montale,1975,Italy,Italy,Literature,Man,
Eyvind Johnson,1974,Sweden,Sweden,Literature,Man,
F. Duncan M. Haldane,2016,United Kingdom,United Kingdom,Physics,Man,
F. Duncan M. Haldane,2016,United States,"United Kingdom, United States",Physics,Man, born in United Kingdom
F. Sherwood Rowland,1995,United States,United States,Chemistry,Man,
F. W. de Klerk,1993,South Africa,South Africa,Peace,Man,
Felix Bloch,1952,Switzerland,Switzerland,Physics,Man,
Felix Bloch,1952,United States,"Switzerland, United States",Physics,Man, born in Switzerland
Feodor Felix Konrad Lynen,1964,Germany,Germany,Physiology or Medicine,Man,
Ferdinand Buisson,1927,France,France,Peace,Man,
Ferid Murad,1998,United States,United States,Physiology or Medicine,Man,
Finn E. Kydland,2004,Norway,Norway,Economics,Man,
Frances H. Arnold,2018,United States,United States,Chemistry,Woman,
Francis Crick,1962,United Kingdom,United Kingdom,Physiology or Medicine,Man,
Francis Peyton Rous,1966,United States,United States,Physiology or Medicine,Man,
Francis William Aston,1922,United Kingdom,United Kingdom,Chemistry,Man,
Franco Modigliani,1985,Italy,Italy,Economics,Man,
Franco Modigliani,1985,United States,"Italy, United States",Economics,Man, born in Italy
François Englert,2013,Belgium,Belgium,Physics,Man,
François Jacob,1965,France,France,Physiology or Medicine,Man,
François Mauriac,1952,France,France,Literature,Man,
Françoise Barré-Sinoussi,2008,France,France,Physiology or Medicine,Woman,
Frank B. Kellogg,1929,United States,United States,Peace,Man,
Frank Wilczek,2004,United States,United States,Physics,Man,
Frans Eemil Sillanpää,1939,Finland,Finland,Literature,Man," born in the Grand Duchy of Finland,  a part of the Russian Empire in 1809–1917"
Fraser Stoddart,2016,United Kingdom,United Kingdom,Chemistry,Man,
Fraser Stoddart,2016,United States,"United Kingdom, United States",Chemistry,Man, born in United Kingdom
Frédéric Joliot-Curie,1935,France,France,Chemistry,Man,
Frédéric Mistral,1904,France,France,Literature,Man,
Frédéric Passy,1901,France,France,Peace,Man,
Frederick C. Robbins,1954,United States,United States,Physiology or Medicine,Man,
Frederick G. Banting,1923,Canada,Canada,Physiology or Medicine,Man,
Frederick Hopkins,1929,United Kingdom,United Kingdom,Physiology or Medicine,Man,
Frederick Reines,1995,United States,United States,Physics,Man,
Frederick Sanger,1958,United Kingdom,United Kingdom,Chemistry,Man,
Frederick Sanger,1980,United Kingdom,United Kingdom,Chemistry,Man,
Frederick Soddy,1921,United Kingdom,United Kingdom,Chemistry,Man,
Fredrik Bajer,1908,Denmark,Denmark,Peace,Man,
Friderik Pregl,1923,Slovenia,Slovenia,Chemistry,Man," born in Austria-Hungary,  now Slovenia"
Fridtjof Nansen,1922,Norway,Norway,Peace,Man,
Friedrich Bergius,1931,Germany,Germany,Chemistry,Man,
Friedrich Hayek,1974,Austria,Austria,Economics,Man,
Friedrich Hayek,1974,United Kingdom,"Austria, United Kingdom",Economics,Man, born in Austria
Friends Service Council,1947,United Kingdom,United Kingdom,Peace,Organization,
Frits Zernike,1953,Netherlands,Netherlands,Physics,Man,
Fritz Albert Lipmann,1953,Germany,Germany,Physiology or Medicine,Man,
Fritz Albert Lipmann,1953,United States,"Germany, United States",Physiology or Medicine,Man," born in then Germany,  now Russia"
Fritz Haber,1918,Germany,Germany,Chemistry,Man,
Fritz Pregl,1923,Austria,Austria,Chemistry,Man," born in Austria-Hungary,  now Slovenia"
Gabriel García Márquez,1982,Colombia,Colombia,Literature,Man,
Gabriel Lippmann,1908,France,France,Physics,Man, born in Luxembourg
Gabriel Lippmann,1908,Luxembourg,"France, Luxembourg",Physics,Man,
Gabriela Mistral,1945,Chile,Chile,Literature,Woman,
Gao Xingjian,2000,"China, People's Republic of","China, People's Republic of",Literature,Man,
Gao Xingjian,2000,France,"China, People's Republic of, France",Literature,Man, born in China
Gary S. Becker,1992,United States,United States,Economics,Man,
Geoffrey Wilkinson,1973,United Kingdom,United Kingdom,Chemistry,Man,
Georg von Békésy,1961,Hungary,Hungary,Physiology or Medicine,Man,
Georg von Békésy,1961,United States,"Hungary, United States",Physiology or Medicine,Man, born in Hungary
Georg Wittig,1979,Germany,Germany,Chemistry,Man,
George A. Akerlof,2001,United States,United States,Economics,Man,
George Andrew Olah,1994,Hungary,Hungary,Chemistry,Man,
George Andrew Olah,1994,United States,"Hungary, United States",Chemistry,Man, born in Hungary
George Beadle,1958,United States,United States,Physiology or Medicine,Man,
George Bernard Shaw,1925,Ireland,Ireland,Literature,Man,
George Bernard Shaw,1925,United Kingdom,"Ireland, United Kingdom",Literature,Man, born in Ireland
George C. Marshall,1953,United States,United States,Peace,Man,
George D. Snell,1980,United States,United States,Physiology or Medicine,Man,
George de Hevesy,1943,Hungary,Hungary,Chemistry,Man,
George E. Palade,1974,Romania,Romania,Physiology or Medicine,Man,
George E. Palade,1974,United States,"Romania, United States",Physiology or Medicine,Man, born in Romania
George E. Smith,2009,United States,United States,Physics,Man,
George F. Smoot,2006,United States,United States,Physics,Man,
George H. Hitchings,1988,United States,United States,Physiology or Medicine,Man,
George H. Whipple,1934,United States,United States,Physiology or Medicine,Man,
George J. Stigler,1982,United States,United States,Economics,Man,
George P. Smith,2018,United States,United States,Chemistry,Man,
George Paget Thomson,1937,United Kingdom,United Kingdom,Physics,Man,
George Porter,1967,United Kingdom,United Kingdom,Chemistry,Man,
George R. Minot,1934,United States,United States,Physiology or Medicine,Man,
George Wald,1967,United States,United States,Physiology or Medicine,Man,
Georges Charpak,1992,France,France,Physics,Man," born in then Poland (Second Polish Republic),  now Ukraine"
Georges Charpak,1992,Poland,"France, Poland",Physics,Man, born in Dąbrowica Poland (now in Ukraine)
Georges Charpak,1992,Ukraine,"France, Poland, Ukraine",Physics,Man,
Georges J. F. Köhler,1984,Switzerland,Switzerland,Physiology or Medicine,Man, born in Germany (worked in Switzerland for 1976 to 1984)
Georges J. F. Köhler,1984,Germany,"Switzerland, Germany",Physiology or Medicine,Man,
Gerald Edelman,1972,United States,United States,Physiology or Medicine,Man,
Gérard Debreu,1983,France,France,Economics,Man,
Gérard Debreu,1983,United States,"France, United States",Economics,Man, born in France
Gérard Mourou,2018,France,France,Physics,Man,
Gerard 't Hooft,1999,Netherlands,Netherlands,Physics,Man,
Gerd Binnig,1986,Germany,Germany,Physics,Man,
Gerhard Domagk,1939,Germany,Germany,Physiology or Medicine,Man,
Gerhard Ertl,2007,Germany,Germany,Chemistry,Man,
Gerhard Herzberg,1971,Canada,Canada,Chemistry,Man, born in Germany
